,original_title,release_date,revenue,runtime,vote_average,Animation,Comedy,Horror,Western,Thriller,Crime,Romance,History,Fantasy,ScienceFiction,Action,Mystery,Family,Drama,Adventure
58,Le confessionnal,1995,0.0,100.0,6.5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
59,The Indian in the Cupboard,1995,0.0,96.0,5.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
60,Eye for an Eye,1996,0.0,101.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
61,Mr. Holland's Opus,1995,106269971.0,137.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0.0,89.0,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Two If by Sea,1996,0.0,96.0,4.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
64,Bio-Dome,1996,0.0,88.0,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Lawnmower Man 2: Beyond Cyberspace,1996,2409225.0,92.0,2.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
66,Two Bits,1995,0.0,85.0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
67,Gazon maudit,1995,0.0,95.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
68,Friday,1995,28215918.0,91.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,From Dusk Till Dawn,1996,25836616.0,108.0,6.9,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
70,Fair Game,1995,11534477.0,91.0,4.1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
71,Kicking and Screaming,1995,718490.0,96.0,7.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
72,Les misérables,1995,0.0,175.0,6.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73,Bed of Roses,1996,19030691.0,87.0,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
74,Big Bully,1996,2042530.0,90.0,3.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75,Screamers,1995,5781885.0,108.0,6.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
76,Nico Icon,1995,0.0,70.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,The Crossing Guard,1995,0.0,111.0,6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
78,The Juror,1996,0.0,118.0,5.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
79,بادکنک سفید,1995,0.0,85.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
80,Things to Do in Denver When You're Dead,1995,529766.0,116.0,6.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
81,Antonia,1995,0.0,102.0,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
82,Once Upon a Time... When We Were Colored,1996,0.0,115.0,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
83,Last Summer in the Hamptons,1995,0.0,108.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Angels and Insects,1995,0.0,118.0,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
85,White Squall,1996,10300000.0,129.0,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
86,Dunston Checks In,1996,0.0,88.0,5.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
87,Black Sheep,1996,32.0,87.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Nick of Time,1995,8175346.0,90.0,6.1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
89,The Journey of August King,1995,0.0,91.0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,Mary Reilly,1996,12379402.0,104.0,5.7,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
91,Vampire in Brooklyn,1995,19800000.0,100.0,4.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
92,Beautiful Girls,1996,0.0,112.0,6.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
93,Broken Arrow,1996,150270147.0,108.0,5.7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
94,A Midwinter's Tale,1995,0.0,99.0,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,La Haine,1995,0.0,98.0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,Shopping,1994,0.0,105.0,5.6,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
97,Heidi Fleiss: Hollywood Madam,1995,0.0,106.0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,City Hall,1996,0.0,111.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
99,Bottle Rocket,1996,560069.0,91.0,6.8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
100,Mr. Wrong,1996,0.0,96.0,3.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
101,Unforgettable,1996,0.0,106.0,5.3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
102,Happy Gilmore,1996,41205099.0,92.0,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,The Bridges of Madison County,1995,182016617.0,135.0,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
104,Keiner liebt mich,1994,0.0,104.0,5.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
105,Muppet Treasure Island,1996,34327391.0,100.0,6.5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
106,Catwalk,1995,0.0,95.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Headless Body in Topless Bar,1995,0.0,110.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,Braveheart,1995,210000000.0,177.0,7.7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
109,Taxi Driver,1976,28262574.0,114.0,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
110,紅番區,1995,32392047.0,91.0,6.5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
111,Before and After,1996,0.0,108.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
112,Margaret's Museum,1995,0.0,114.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,Le Bonheur est dans le pré,1995,0.0,106.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Anne Frank Remembered,1995,1.0,117.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,The Young Poisoner's Handbook,1995,0.0,99.0,6.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
116,If Lucy Fell,1996,0.0,92.0,5.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117,Steal Big Steal Little,1995,6278139.0,113.0,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
118,Race the Sun,1996,0.0,100.0,5.2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
119,The Boys of St. Vincent,1992,0.0,90.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,Boomerang,1992,70100000.0,117.0,5.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
121,重慶森林,1994,0.0,102.0,7.9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
122,L'uomo delle stelle,1995,0.0,113.0,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
123,Flirting with Disaster,1996,14702438.0,92.0,6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
124,The NeverEnding Story III,1994,0.0,95.0,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,صمت القصور,1994,0.0,116.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,Jupiter's Wife,1995,0.0,87.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Pie in the Sky,1996,0.0,95.0,7.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Angela,1995,0.0,99.0,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
129,Frankie Starlight,1995,0.0,101.0,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
130,Jade,1995,9851610.0,95.0,5.1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
131,Nueba Yol,1995,0.0,102.0,5.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
132,Sonic Outlaws,1995,0.0,87.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Down Periscope,1996,0.0,92.0,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,From the Journals of Jean Seberg,1995,0.0,97.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Man of the Year,1995,209935.0,86.0,3.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,The Neon Bible,1995,0.0,91.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,Target,1995,0.0,122.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Up Close & Personal,1996,0.0,119.0,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
139,The Birdcage,1996,185260553.0,117.0,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Gospa,1995,0.0,125.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,The Brothers McMullen,1995,0.0,98.0,6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
142,Bad Boys,1995,141407024.0,118.0,6.5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
143,The Amazing Panda Adventure,1995,0.0,81.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
144,The Basketball Diaries,1995,0.0,102.0,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
145,An Awfully Big Adventure,1995,851545.0,113.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
146,Amateur,1994,0.0,105.0,6.5,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
147,Apollo 13,1995,355237933.0,140.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,Rob Roy,1995,31596911.0,139.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,The Addiction,1995,0.0,82.0,6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
150,Batman Forever,1995,336529144.0,121.0,5.2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
151,Belle de jour,1967,0.0,101.0,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
152,Beyond Rangoon,1995,0.0,100.0,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
153,Blue in the Face,1995,1275000.0,83.0,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Canadian Bacon,1995,178104.0,91.0,5.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
155,Casper,1995,287928194.0,100.0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
156,Clockers,1995,13071518.0,128.0,6.8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
157,Congo,1995,152022101.0,109.0,5.0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1
158,Crimson Tide,1995,157387195.0,116.0,7.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
159,Crumb,1994,3174695.0,119.0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Desperado,1995,25405445.0,104.0,6.8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
161,Devil in a Blue Dress,1995,16140822.0,102.0,6.3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
162,Die Hard: With a Vengeance,1995,366101666.0,128.0,6.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
163,The Doom Generation,1995,0.0,80.0,5.6,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
164,Feast of July,1995,0.0,116.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
165,First Knight,1995,127600435.0,134.0,5.9,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
166,Free Willy 2 - The Adventure Home,1995,0.0,95.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,Hackers,1995,7563728.0,107.0,6.2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
168,Jeffrey,1995,0.0,92.0,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
169,Johnny Mnemonic,1995,19075720.0,97.0,5.5,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
170,Judge Dredd,1995,113493481.0,96.0,5.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
171,Jury Duty,1995,17014653.0,88.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
172,Kids,1995,7412216.0,91.0,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
173,Living in Oblivion,1995,1148752.0,89.0,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
174,Lord of Illusions,1995,0.0,119.0,5.9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
175,Love & Human Remains,1993,0.0,100.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Mad Love,1995,15453274.0,95.0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
177,Mallrats,1995,2122561.0,94.0,6.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
178,Mighty Morphin Power Rangers: The Movie,1995,66000000.0,92.0,5.2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
179,Moonlight and Valentino,1995,0.0,100.0,5.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
180,Mute Witness,1995,1.0,95.0,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,Nadja,1994,0.0,93.0,5.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
182,The Net,1995,110627965.0,114.0,5.6,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
183,Nine Months,1995,69660733.0,103.0,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Party Girl,1995,472370.0,94.0,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,The Prophecy,1995,16.0,98.0,6.4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
186,Reckless,1995,0.0,91.0,10.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
187,Safe,1995,0.0,119.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,The Scarlet Letter,1995,10382407.0,135.0,5.5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
189,The Show,1995,0.0,93.0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Showgirls,1995,20350754.0,128.0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,Smoke,1995,8349430.0,112.0,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
192,Something to Talk About,1995,50892160.0,106.0,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Species,1995,113374103.0,108.0,5.5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
194,The Stars Fell on Henrietta,1995,0.0,109.0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
195,Strange Days,1995,7959291.0,145.0,6.8,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
196,Les parapluies de Cherbourg,1964,0.0,91.0,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
197,The Tie That Binds,1995,5780000.0,99.0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,Three Wishes,1995,7025496.0,115.0,6.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
199,Total Eclipse,1995,339889.0,111.0,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,47774193.0,105.0,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Under Siege 2: Dark Territory,1995,104324083.0,100.0,5.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
202,Unstrung Heroes,1995,0.0,93.0,6.4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
203,Unzipped,1995,0.0,73.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,A Walk in the Clouds,1995,50012507.0,103.0,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
205,Waterworld,1995,264218220.0,135.0,5.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
206,White Man's Burden,1995,0.0,89.0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,Wild Bill,1995,0.0,98.0,5.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
208,The Browning Version,1994,0.0,97.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,Bushwhacked,1995,0.0,90.0,4.9,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
210,Утомлённые солнцем,1994,2616503.0,135.0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,Before the Rain,1994,763847.0,113.0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,Before Sunrise,1995,5535405.0,105.0,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
213,Billy Madison,1995,26488734.0,89.0,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,The Babysitter,1995,0.0,90.0,4.7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
215,Boys on the Side,1995,23450000.0,115.0,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
216,The Cure,1995,0.0,97.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
217,Castle Freak,1995,0.0,95.0,5.8,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
218,Circle of Friends,1995,0.0,103.0,6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
219,Clerks,1994,3151130.0,92.0,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Don Juan DeMarco,1994,22200000.0,97.0,6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
221,Disclosure,1994,214015089.0,123.0,5.9,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
222,Dream Man,1995,0.0,0.0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
223,Drop Zone,1994,0.0,101.0,5.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
224,Destiny Turns on the Radio,1995,0.0,0.0,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
225,Death and the Maiden,1994,0.0,103.0,7.1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
226,Dolores Claiborne,1995,0.0,132.0,7.1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
227,Dumb and Dumber,1994,247275374.0,107.0,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228,飲食男女,1994,7294403.0,123.0,7.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
229,Exotica,1994,0.0,103.0,6.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
230,Exit to Eden,1994,6841570.0,113.0,4.3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
231,Ed Wood,1994,5887457.0,127.0,7.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
232,French Kiss,1995,0.0,111.0,6.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
233,Forget Paris,1995,0.0,101.0,6.1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
234,Far from Home: The Adventures of Yellow Dog,1995,0.0,87.0,5.6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
235,A Goofy Movie,1995,35348597.0,78.0,6.7,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
236,Hideaway,1995,12201255.0,103.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
237,Fluke,1995,0.0,96.0,6.6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
238,Farinelli,1994,0.0,111.0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
239,Gordy,1995,3992809.0,90.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
240,Gumby: The Movie,1995,0.0,77.0,5.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
241,The Glass Shield,1994,0.0,109.0,5.4,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
242,Hoop Dreams,1994,7830611.0,171.0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Heavenly Creatures,1994,3049135.0,99.0,6.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
244,Houseguest,1995,26325256.0,113.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
